,value,value,value,value,value,value,value,value
variable,pval_early,pval_late,slope_early,slope_late,pval_early,pval_late,slope_early,slope_late
var,count,count,count,count,prcp,prcp,prcp,prcp
cutoff_year,,,,,,,,
1997,0.485,0.002,0.285,0.897,0.649,0.023,-0.013,0.042
1998,0.78,0.009,-0.12,0.8,0.747,0.025,-0.008,0.045
1999,0.893,0.004,-0.052,0.945,0.812,0.029,-0.006,0.048
2000,0.779,0.005,-0.096,1.03,0.581,0.071,-0.012,0.042
2001,0.37,0.017,-0.299,0.916,0.438,0.155,-0.015,0.036
2002,0.317,0.025,-0.303,0.957,0.809,0.103,-0.004,0.046
2003,0.224,0.049,-0.337,0.926,0.554,0.267,-0.01,0.033
